,State,Gun Violence Events,accidental_deaths,accidental_deaths_children,accidental_deaths_teens,accidental_injuries,accidental_injuries_children,accidental_injuries_teens,children_injured,children_killed,mass_shootings_2014,mass_shootings_2015,mass_shootings_2016,mass_shootings_all,officer_involved_shootings,teens_injured,teens_killed,Unnamed: 0,Population,income per capita,unemployment_rate(%),poverty_rate(%),no_college_education_rate(%)
0,Alabama,100.0,14.0,9.0,6.0,0.0,1.0,1.0,3.0,15.0,1.0,4.0,15.0,18.0,2.0,0.0,11.0,0.0,4817678.0,23936.0,4.747432269238417,18.46761033012169,17.988956505602907
1,Alaska,35.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,728300.0,33129.0,4.407112453659207,9.867636962790057,14.591377179733625
2,Arizona,97.0,8.0,4.0,4.0,0.0,0.0,0.0,2.0,21.0,1.0,15.0,12.0,14.0,1.0,0.0,15.0,2.0,6561516.0,25537.0,4.634096754469547,17.820713993534422,14.217232724876384
3,Arkansas,48.0,13.0,5.0,4.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,2947036.0,22595.0,3.905279745479865,18.639168303339353,19.922321953311734
4,California,297.0,17.0,4.0,9.0,0.0,1.0,1.0,3.0,35.0,45.0,38.0,37.0,59.0,2.0,5.0,41.0,4.0,38066920.0,29906.0,5.476051122601986,16.064457014121448,13.719686278795345
5,Colorado,59.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,6.0,10.0,0.0,1.0,7.0,5.0,5197580.0,31674.0,4.21813613258478,12.772501818153833,12.632782948987794
6,Connecticut,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3592053.0,38480.0,5.19443894619595,10.154081802245123,17.351609232937264
7,Delaware,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,7.0,917060.0,30191.0,4.342027784441585,11.678734215863738,19.748762349246505
8,District of Columbia,13.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,,,,,,
9,Florida,399.0,34.0,10.0,22.0,0.0,0.0,0.0,9.0,58.0,26.0,18.0,80.0,92.0,0.0,3.0,47.0,9.0,19361792.0,26499.0,5.29344081374286,16.31697623856304,18.810815651774387
10,Georgia,233.0,27.0,14.0,22.0,0.0,2.0,0.0,4.0,47.0,18.0,27.0,21.0,28.0,0.0,1.0,22.0,10.0,9907756.0,25427.0,5.2412574552703965,17.97973224209397,16.176750820266463
11,Hawaii,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1392704.0,29552.0,3.3233910436101284,11.039818942144203,18.334692799044163
12,Idaho,14.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1599464.0,23087.0,3.866107646061431,15.293748405715913,15.06392141367358
13,Illinois,211.0,16.0,6.0,7.0,0.0,1.0,2.0,4.0,20.0,16.0,17.0,22.0,33.0,1.0,9.0,57.0,13.0,12868747.0,30019.0,5.203000727265832,14.068735674110307,16.34680517069766
14,Indiana,112.0,14.0,7.0,8.0,0.0,1.0,0.0,2.0,22.0,7.0,10.0,8.0,13.0,2.0,6.0,12.0,14.0,6542411.0,24953.0,4.439785271821046,15.037667306441007,20.21603350813637
