,Incident Date,State,City Or County,Address,# Killed,# Injured
0,"November 26, 2016",Maryland,Sabillasville,6600 block of Eylers Valley Flint Road,1,0
1,"November 26, 2016",Ohio,Grand Rapids,SR Route 65,1,0
2,"November 24, 2016",New York,Sandy Creek,Kehoe Road,1,0
3,"November 24, 2016",Florida,Black Point,,1,0
4,"November 23, 2016",Michigan,Powell Township,North 1311 County Road KCI,1,0
5,"November 23, 2016",West Virginia,Troy,Highway 47 West,1,0
6,"November 22, 2016",Indiana,Anderson,1600 block of West 7th Street,1,0
7,"November 22, 2016",Virginia,Christiansburg,700 block of Dabney Road,1,0
8,"November 22, 2016",Arkansas,Searcy (county),,1,0
9,"November 20, 2016",Louisiana,Many (Sabine),,1,0
10,"November 20, 2016",Virginia,Dinwiddie (county),I-85,1,0
11,"November 17, 2016",New Jersey,Trenton (Hamilton Township),2000 block of Genesee Street,1,0
12,"November 16, 2016",Arkansas,Bentonville,Punkin Hollow and Miller Church Roads,1,0
13,"November 15, 2016",Montana,Park (county),Daisy Dean Road,1,0
14,"November 13, 2016",Colorado,Park (county),,1,0
15,"November 13, 2016",Georgia,Jasper (county),Highway 16,1,0
16,"November 13, 2016",Michigan,Ypsilanti,212 Stevens Drive,1,0
17,"November 12, 2016",South Carolina,Union,200 block of Wilson Road,1,0
18,"November 12, 2016",Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0
19,"November 12, 2016",Montana,Libby,,1,0
20,"November 12, 2016",Colorado,La Salle,18000 block of County Road 43,1,0
21,"November 12, 2016",South Carolina,Summerton,1500 block of Homeward Way,1,0
22,"November 11, 2016",Minnesota,Winona,300 block of East 3rd Street,1,0
23,"November 11, 2016",Oklahoma,Fort Towson,,1,0
24,"November 10, 2016",California,Burbank,2500 North Hollywood Way,1,0
25,"November 10, 2016",Oregon,Salem,,1,0
26,"November 8, 2016",Virginia,Hampton,500 block of Pennsylvania Ave,1,0
27,"November 8, 2016",Michigan,Muskegon (county),Johnston Street,1,0
28,"November 7, 2016",Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,1,0
29,"November 7, 2016",Minnesota,Little Falls (Belle Prairie Township),Hawthorne and Jewel Road,1,0
30,"November 7, 2016",Florida,Pinellas Park,5000 block of 75th Avenue,1,0
31,"November 7, 2016",California,Lancaster,1700 block of East Avenue J,1,0
32,"November 7, 2016",North Carolina,Statesville,100 block of Treeline Drive,1,0
33,"November 7, 2016",Minnesota,Cloquet,,1,0
