Year	State	ICD-10 113 Cause	Deaths
2013	Alabama	Accidental discharge of firearms (W32-W34)	25
2013	Alabama	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	504
2013	Alabama	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	317
2013	Alabama	"#Legal intervention (Y35,Y89.0)"	0
2013	Alaska	Accidental discharge of firearms (W32-W34)	0
2013	Alaska	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	120
2013	Alaska	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	19
2013	Alaska	"#Legal intervention (Y35,Y89.0)"	0
2013	Arizona	Accidental discharge of firearms (W32-W34)	0
2013	Arizona	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	655
2013	Arizona	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	251
2013	Arizona	"#Legal intervention (Y35,Y89.0)"	13
2013	Arkansas	Accidental discharge of firearms (W32-W34)	15
2013	Arkansas	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	322
2013	Arkansas	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	152
2013	Arkansas	"#Legal intervention (Y35,Y89.0)"	0
2013	California	Accidental discharge of firearms (W32-W34)	35
2013	California	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	1571
2013	California	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	1312
2013	California	"#Legal intervention (Y35,Y89.0)"	97
2013	Colorado	Accidental discharge of firearms (W32-W34)	0
2013	Colorado	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	489
2013	Colorado	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	106
2013	Colorado	"#Legal intervention (Y35,Y89.0)"	0
2013	Connecticut	Accidental discharge of firearms (W32-W34)	0
2013	Connecticut	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	92
2013	Connecticut	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	66
2013	Connecticut	"#Legal intervention (Y35,Y89.0)"	0
2013	Delaware	Accidental discharge of firearms (W32-W34)	0
2013	Delaware	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	60
2013	Delaware	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	38
2013	Delaware	"#Legal intervention (Y35,Y89.0)"	0
2013	Florida	Accidental discharge of firearms (W32-W34)	22
2013	Florida	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	1566
2013	Florida	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	816
2013	Florida	"#Legal intervention (Y35,Y89.0)"	27
2013	Georgia	Accidental discharge of firearms (W32-W34)	24
2013	Georgia	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	747
2013	Georgia	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	472
2013	Georgia	"#Legal intervention (Y35,Y89.0)"	14
2013	Hawaii	Accidental discharge of firearms (W32-W34)	0
2013	Hawaii	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	28
2013	Hawaii	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2013	Hawaii	"#Legal intervention (Y35,Y89.0)"	0
2013	Idaho	Accidental discharge of firearms (W32-W34)	0
2013	Idaho	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	200
2013	Idaho	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	14
2013	Idaho	"#Legal intervention (Y35,Y89.0)"	0
2013	Illinois	Accidental discharge of firearms (W32-W34)	18
2013	Illinois	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	496
2013	Illinois	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	576
2013	Illinois	"#Legal intervention (Y35,Y89.0)"	16
2013	Indiana	Accidental discharge of firearms (W32-W34)	15
2013	Indiana	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	523
2013	Indiana	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	298
