State,Gun Supplier Count
Alaska,528
Alabama,1043
Arkansas,1087
Arizona,1668
California,2224
Colorado,1283
Connecticut,368
Delaware,4
Florida,74
Georgia,2035
Hawaii,1580
Iowa,15
Idaho,67
Illinois,1087
Indiana,760
Kansas,1599
Kentucky,1196
Louisiana,896
Massachusetts,1128
Maryland,910
Maine,358
Michigan,387
Minnesota,454
Missouri,1400
Mississippi,1085
Montana,1682
North Carolina,1
North Dakota,748
Nebraska,815
New Hampshire,2015
New Jersey,353
New Mexico,572
Nevada,327
New York,192
Ohio,616
Oklahoma,550
Oregon,1113
Pennsylvania,1847
Rhode Island,1254
South Carolina,1010
South Dakota,1919
Tennessee,42
Texas,66
Utah,898
Virginia,413
Vermont,1420
Washington,5630
Wisconsin,776
West Virginia,1284
Wyoming,5
