,Population,education_none,education_highschool,education_ged,education_bachelors,education_masters,education_professsional,education_doctorate,Poverty Count,income per capita,Unemployment Count,State Name,state_ID,education_none_highschool,unemployment_rate(%),poverty_rate(%),no_college_education_rate(%)
0,4817678.0,41671.0,824979.0,174782.0,465268.0,196935.0,47795.0,31815.0,889710.0,23936.0,228716.0,Alabama,01,866650.0,4.747432269238417,18.46761033012169,17.988956505602907
1,728300.0,2924.0,103345.0,23266.0,82261.0,32681.0,7370.0,5126.0,71866.0,33129.0,32097.0,Alaska,02,106269.0,4.407112453659207,9.867636962790058,14.591377179733625
2,6561516.0,55703.0,877163.0,172916.0,733845.0,306410.0,71569.0,49252.0,1169309.0,25537.0,304067.0,Arizona,04,932866.0,4.634096754469547,17.82071399353442,14.217232724876386
3,2947036.0,22572.0,564546.0,117905.0,263299.0,98442.0,24187.0,16663.0,549303.0,22595.0,115090.0,Arkansas,05,587118.0,3.905279745479865,18.639168303339353,19.922321953311734
4,38066920.0,624808.0,4597854.0,555403.0,4870524.0,1889640.0,575093.0,373652.0,6115244.0,29906.0,2084564.0,California,06,5222662.0,5.476051122601986,16.064457014121448,13.719686278795344
5,5197580.0,30061.0,626538.0,132797.0,819675.0,344986.0,73307.0,55716.0,663861.0,31674.0,219241.0,Colorado,08,656599.0,4.21813613258478,12.772501818153833,12.632782948987797
6,3592053.0,24122.0,599157.0,78730.0,506662.0,290414.0,71488.0,39987.0,364740.0,38480.0,186587.0,Connecticut,09,623279.0,5.19443894619595,10.154081802245123,17.351609232937264
7,917060.0,6795.0,174313.0,21493.0,108647.0,52733.0,11146.0,10238.0,107101.0,30191.0,39819.0,Delaware,10,181108.0,4.342027784441585,11.678734215863738,19.748762349246505
9,19361792.0,189444.0,3452667.0,571385.0,2324792.0,889974.0,267663.0,146998.0,3159259.0,26499.0,1024905.0,Florida,12,3642111.0,5.29344081374286,16.31697623856304,18.810815651774384
10,9907756.0,84070.0,1518683.0,313403.0,1148710.0,468554.0,122826.0,74803.0,1781388.0,25427.0,519291.0,Georgia,13,1602753.0,5.2412574552703965,17.97973224209397,16.176750820266466
11,1392704.0,10484.0,244864.0,22549.0,191712.0,64657.0,20733.0,12638.0,153752.0,29552.0,46285.0,Hawaii,15,255348.0,3.3233910436101284,11.039818942144203,18.334692799044163
12,1599464.0,10690.0,230252.0,51348.0,176651.0,56312.0,14796.0,10355.0,244618.0,23087.0,61837.0,Idaho,16,240942.0,3.8661076460614305,15.293748405715915,15.063921413673581
13,12868747.0,98533.0,2005096.0,306922.0,1688420.0,757345.0,181769.0,102400.0,1810470.0,30019.0,669561.0,Illinois,17,2103629.0,5.203000727265832,14.068735674110307,16.34680517069766
14,6542411.0,39423.0,1283193.0,215785.0,647692.0,268080.0,55789.0,41235.0,983826.0,24953.0,290469.0,Indiana,18,1322616.0,4.439785271821046,15.037667306441005,20.216033508136373
15,3078116.0,14295.0,580554.0,82293.0,366812.0,117991.0,30338.0,22164.0,373867.0,27621.0,89414.0,Iowa,19,594849.0,2.904828797875064,12.145968508009444,19.325100158668484
16,2882946.0,15540.0,426851.0,79109.0,370031.0,147219.0,33406.0,21229.0,386062.0,27367.0,97951.0,Kansas,20,442391.0,3.39760092627472,13.391232440704751,15.345101850676357
17,4383272.0,32662.0,788478.0,203042.0,377949.0,188011.0,47619.0,26453.0,803866.0,23741.0,192877.0,Kentucky,21,821140.0,4.400297312144899,18.339404901178845,18.733494065620384
18,4601049.0,39694.0,863755.0,158411.0,441765.0,150807.0,46033.0,27441.0,874638.0,24775.0,189644.0,Louisiana,22,903449.0,4.121755712664656,19.009534564835107,19.63571785477616
19,1328535.0,5709.0,268246.0,49771.0,173294.0,68173.0,15935.0,11478.0,179878.0,27332.0,51931.0,Maine,23,273955.0,3.9088921255367755,13.53957554750157,20.62083422717505
20,5887776.0,40294.0,904381.0,118530.0,805699.0,462118.0,116377.0,97584.0,573383.0,36670.0,257918.0,Maryland,24,944675.0,4.380567467240602,9.738532851793275,16.044683085769567
21,6657291.0,63680.0,1033017.0,132901.0,1030633.0,555666.0,127450.0,109687.0,742784.0,36441.0,309050.0,Massachusetts,25,1096697.0,4.642278668605593,11.157451281609893,16.47362267925497
22,9889024.0,71758.0,1734029.0,263590.0,1068984.0,499269.0,109396.0,71017.0,1633316.0,26143.0,554747.0,Michigan,26,1805787.0,5.609724478371172,16.516452988687256,18.260517923710164
23,5383661.0,35915.0,838954.0,112399.0,801653.0,273587.0,73959.0,44713.0,605761.0,31642.0,192010.0,Minnesota,27,874869.0,3.5665321423470018,11.251841451384106,16.250447418587463
24,2984345.0,27127.0,469810.0,113823.0,248884.0,103269.0,24389.0,17222.0,653726.0,20956.0,147210.0,Mississippi,28,496937.0,4.932740685141966,21.905175172441524,16.651459532996352
25,6028076.0,31490.0,1079905.0,185576.0,672563.0,289158.0,67607.0,44714.0,912291.0,26006.0,254534.0,Missouri,29,1111395.0,4.222474965478205,15.134032815777374,18.436977237845042
26,1006370.0,2850.0,171310.0,32515.0,135759.0,42640.0,12095.0,8334.0,150096.0,25977.0,35284.0,Montana,30,174160.0,3.506066357303974,14.914594035990739,17.305762294186035
27,1855617.0,12149.0,293816.0,41615.0,235747.0,78898.0,20334.0,14064.0,231762.0,27339.0,54785.0,Nebraska,31,305965.0,2.9523872652600187,12.489754081795974,16.488585737250734
28,2761584.0,26266.0,457088.0,72353.0,274707.0,97428.0,29096.0,15197.0,423578.0,26515.0,166167.0,Nevada,32,483354.0,6.017090191716059,15.338226177440195,17.502781012636227
29,1321069.0,5525.0,230715.0,36644.0,197937.0,88205.0,16110.0,13540.0,113374.0,33821.0,48029.0,New Hampshire,33,236240.0,3.6356163077023234,8.581989282921635,17.88248759148841
30,8874374.0,75464.0,1589736.0,153531.0,1362013.0,602487.0,146130.0,89508.0,934665.0,36359.0,453097.0,New Jersey,34,1665200.0,5.105678439966582,10.5321795092251,18.76414043401822
31,2080085.0,18614.0,297629.0,60378.0,201686.0,107547.0,21055.0,24483.0,426116.0,23948.0,93106.0,New Mexico,35,316243.0,4.476067083797056,20.485509005641596,15.203369093089947
32,19594330.0,241435.0,3091743.0,499769.0,2544961.0,1396536.0,361362.0,186554.0,2978521.0,32829.0,893092.0,New York,36,3333178.0,4.557910375093202,15.200933127083191,17.010931223471278
33,9750405.0,80704.0,1462439.0,281877.0,1185011.0,442291.0,97856.0,80101.0,1669147.0,25608.0,505668.0,North Carolina,37,1543143.0,5.186123037966115,17.118745323912187,15.8264502859112
34,704925.0,2615.0,108382.0,17238.0,90032.0,24064.0,6333.0,4848.0,80865.0,30894.0,12213.0,North Dakota,38,110997.0,1.7325247366741143,11.471433131184169,15.74593041812959
35,11560380.0,66013.0,2384432.0,297600.0,1252463.0,537384.0,122786.0,81230.0,1790564.0,26520.0,536573.0,Ohio,39,2450445.0,4.641482373416791,15.488798811111746,21.19692432255687
36,3818851.0,21963.0,663696.0,125580.0,396647.0,139633.0,34029.0,22557.0,625508.0,24695.0,124804.0,Oklahoma,40,685659.0,3.2681034164464653,16.379481681793816,17.954588958825575
37,3900343.0,27209.0,535347.0,121776.0,505798.0,208552.0,53369.0,37356.0,638816.0,27173.0,206222.0,Oregon,41,562556.0,5.287278580371009,16.378456971604805,14.423244314666682
38,12758729.0,85128.0,2872856.0,348332.0,1502205.0,680881.0,163726.0,115989.0,1667858.0,28912.0,556468.0,Pennsylvania,42,2957984.0,4.361468920611136,13.072289567401265,23.18400210553888
39,1053252.0,11943.0,163705.0,32225.0,134617.0,63910.0,15056.0,11182.0,143996.0,30765.0,53761.0,Rhode Island,44,175648.0,5.104286533517145,13.671561981368182,16.676730734904847
40,4727273.0,38069.0,809044.0,139201.0,511586.0,213779.0,44602.0,31671.0,840141.0,24222.0,242145.0,South Carolina,45,847113.0,5.122297781405897,17.772212436218513,17.919697043094402
41,834708.0,3101.0,147632.0,24033.0,101655.0,30412.0,7436.0,5764.0,114444.0,26311.0,21364.0,South Dakota,46,150733.0,2.5594579182181074,13.71066289049584,18.058171240721308
42,6451365.0,50173.0,1168434.0,265860.0,676462.0,262719.0,68381.0,49955.0,1121344.0,24811.0,296819.0,Tennessee,47,1218607.0,4.60087128847926,17.38149988413305,18.889134314986052
43,26092033.0,317719.0,3390961.0,754328.0,2948330.0,1079436.0,249356.0,172482.0,4500034.0,26513.0,982580.0,Texas,48,3708680.0,3.7658238436230707,17.246774139830347,14.213840676960665
44,2858111.0,11768.0,336406.0,45802.0,336426.0,117949.0,26716.0,22383.0,358682.0,24312.0,95738.0,Utah,49,348174.0,3.3496949558642055,12.549617562089086,12.18196214212814
45,626358.0,2247.0,117199.0,15822.0,92347.0,43330.0,9864.0,7587.0,72044.0,29535.0,21643.0,Vermont,50,119446.0,3.4553721673547715,11.50204834934654,19.069924867248442
46,8185131.0,64261.0,1165535.0,210187.0,1140878.0,603678.0,132933.0,90083.0,914237.0,33958.0,293310.0,Virginia,51,1229796.0,3.583449061475009,11.169485253198758,15.024756476102826
47,6899123.0,52870.0,903317.0,180826.0,956333.0,386379.0,93731.0,64271.0,916364.0,31233.0,308955.0,Washington,53,956187.0,4.4781778785506505,13.282325884029028,13.859544176846825
48,1853881.0,10946.0,444839.0,86466.0,150406.0,66496.0,16266.0,10298.0,326225.0,23237.0,67035.0,West Virginia,54,455785.0,3.615927883181283,17.59686840741126,24.585450738208117
49,5724692.0,32094.0,1110327.0,136682.0,697041.0,258609.0,60074.0,40133.0,738557.0,27907.0,221662.0,Wisconsin,55,1142421.0,3.872033639539035,12.901253028110506,19.956025581812963
50,575251.0,1080.0,91962.0,20120.0,64017.0,22240.0,4900.0,4584.0,65271.0,29381.0,15950.0,Wyoming,56,93042.0,2.7727026984742316,11.346525255931757,16.174157020152943
